0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
52,6,49,6,11,1,15,3,1,1,93,50,53,4,0
6,7,7,3,14,7,2,1,3,0,69,43,38,16,1
31,9,17,14,7,1,10,3,0,1,18,64,51,26,0
41,7,32,6,11,0,13,4,3,1,14,2,52,12,2
55,5,63,9,8,6,2,2,5,1,94,50,78,34,1
42,2,32,14,10,2,3,3,5,0,90,49,51,24,0
59,8,59,11,6,3,9,3,5,2,80,29,23,12,0
36,8,95,4,12,4,11,0,4,2,71,82,90,30,2
41,6,74,10,3,6,14,5,0,2,82,76,96,35,0
69,3,18,8,5,0,15,5,2,0,68,53,74,33,1
58,3,23,4,2,5,6,5,1,2,61,22,24,34,0
56,8,98,1,8,6,11,5,3,0,76,51,5,6,1
11,4,38,2,0,5,5,6,2,1,8,3,9,32,0
30,9,95,10,9,3,8,6,5,1,49,95,56,3,2
24,1,47,15,7,7,3,0,5,1,28,58,9,11,1
5,7,25,7,7,0,10,0,2,1,76,38,29,34,1
73,8,90,11,3,7,5,2,2,0,30,58,61,33,2
55,6,84,4,9,3,1,1,4,2,11,31,39,10,1
51,3,56,3,3,0,5,6,4,2,38,31,44,18,2
31,5,24,15,0,2,8,1,0,2,89,17,23,6,0
73,6,19,9,3,4,0,6,0,1,60,89,12,27,0
18,2,77,12,16,7,2,1,2,0,92,81,97,33,1
63,5,97,5,3,0,10,2,3,2,53,36,92,18,2
73,3,51,2,5,6,11,4,2,2,93,66,33,1,0
11,0,25,2,2,4,3,1,1,0,63,49,61,16,0
31,3,62,0,9,2,8,2,5,0,96,50,51,10,0
24,1,42,15,7,6,13,4,1,0,28,12,25,0,1
31,4,0,13,5,1,6,1,5,1,23,97,10,9,2
17,6,60,9,14,4,4,3,2,2,24,62,53,38,2
46,2,35,8,12,1,1,4,2,0,60,50,83,41,0
51,6,93,13,0,5,12,5,1,0,26,8,87,13,0
27,3,53,5,7,4,14,1,2,1,36,24,24,0,2
17,3,98,1,10,3,1,0,0,0,27,52,47,37,0
74,4,21,1,10,5,13,2,4,1,53,73,28,11,1
60,2,27,7,14,3,8,1,2,1,86,8,21,42,2
6,5,10,14,4,7,0,4,2,2,1,25,37,39,1
69,1,86,6,6,4,9,6,5,1,5,52,49,18,0
10,3,48,16,4,1,2,6,0,0,82,28,1,38,1
46,8,34,4,13,4,7,4,0,0,62,84,51,12,0
53,3,7,2,7,4,10,5,2,0,9,32,66,35,2
38,8,35,0,4,2,11,5,3,1,73,64,91,34,0
74,3,81,15,4,5,3,0,0,0,96,69,23,8,2
24,5,75,3,15,0,0,4,1,0,32,10,77,4,2
64,0,91,16,5,2,14,0,3,0,73,70,8,23,0
45,3,68,13,3,5,0,5,2,1,34,30,64,42,2
2,8,50,8,10,0,3,4,4,2,35,75,39,10,2
18,8,43,3,4,1,3,3,1,2,91,0,90,1,0
61,0,64,2,2,0,2,6,1,0,71,45,61,32,0
45,2,53,6,0,6,11,1,2,0,93,56,20,20,2
37,7,17,10,0,0,5,4,2,2,18,94,80,26,1
6,3,67,9,0,5,3,6,1,1,35,76,35,14,1
25,3,77,3,12,1,14,2,2,1,47,71,53,22,1
41,7,84,7,0,0,0,5,1,1,94,46,28,19,2
51,1,87,12,5,0,10,6,1,1,20,57,23,11,2
28,8,45,12,1,1,1,0,5,0,44,13,92,26,0
21,2,60,14,3,1,3,0,2,2,73,54,65,25,1
67,2,11,8,6,3,2,3,2,1,42,61,85,28,1
44,4,97,15,13,7,14,5,4,0,63,43,44,37,1
4,4,30,8,7,7,4,5,5,1,96,92,3,12,1
64,1,84,8,8,2,8,4,4,0,35,22,57,36,1
56,9,63,0,6,1,1,4,5,1,92,89,63,5,2
16,7,92,6,8,0,5,0,3,1,20,55,66,23,2
38,7,66,8,14,4,0,4,5,0,18,16,63,16,2
48,9,94,16,7,6,8,1,3,2,47,6,53,36,0
21,9,51,14,0,6,13,1,1,2,24,17,16,26,0
9,7,91,10,1,7,14,6,3,1,7,13,57,2,0
6,5,18,12,6,4,5,2,0,0,35,75,61,36,0
3,3,78,5,6,7,14,0,3,0,7,59,28,2,0
12,1,59,15,14,2,4,2,5,0,85,53,27,12,2
35,8,97,0,3,7,3,2,1,1,27,34,90,4,1
57,7,72,5,1,7,8,2,3,0,78,62,29,26,1
65,6,13,9,4,0,10,1,4,1,61,84,82,24,0
55,5,53,15,0,2,4,3,3,0,40,77,26,40,2
4,8,70,1,15,2,6,5,5,2,33,96,48,34,2
71,7,39,1,12,5,9,5,4,2,19,66,70,7,1
31,9,5,5,4,6,0,3,4,2,30,78,21,21,1
4,6,57,12,15,7,13,0,3,1,69,47,2,17,1
53,6,74,3,0,1,14,5,4,0,26,74,92,6,1
23,2,41,11,7,1,10,3,1,2,0,43,91,35,0
42,4,50,11,12,7,15,4,5,0,84,31,77,41,2
14,0,97,10,16,6,6,3,5,0,54,29,61,12,1
4,7,85,3,5,5,3,1,5,1,75,54,45,2,1
13,6,19,13,7,2,9,4,5,1,8,78,23,26,1
7,4,39,10,3,0,12,2,3,0,75,71,1,42,2
11,8,17,5,15,3,8,3,1,0,32,42,88,18,2
6,6,56,13,16,1,1,4,4,0,37,65,11,37,0
56,3,54,16,16,5,15,1,5,2,11,36,23,28,1
31,2,78,7,12,0,1,1,0,1,19,23,79,13,0
42,2,47,13,9,0,11,5,2,1,82,50,40,41,1
28,4,50,4,0,6,14,3,0,1,79,99,61,19,2
46,4,30,12,3,5,6,3,0,0,41,63,38,22,0
66,3,32,8,10,1,15,0,0,2,25,38,56,10,1
37,9,56,3,10,0,6,3,5,0,33,48,48,30,1
63,1,88,4,11,4,9,6,4,2,59,92,39,1,2
3,2,55,10,6,5,0,3,5,2,27,96,54,35,1
8,9,91,4,8,2,11,0,4,2,88,57,46,17,1
29,0,37,11,16,0,8,3,5,1,88,20,81,30,1
36,1,25,8,2,3,9,6,0,1,69,74,28,40,0
0,2,95,11,16,0,13,0,3,0,95,66,93,9,0
65,7,68,9,4,6,2,3,1,0,40,1,71,21,0
15,1,45,8,7,7,12,2,4,0,8,34,51,20,2
64,6,5,16,6,0,6,0,5,0,37,93,99,31,0
9,1,39,10,2,0,12,4,3,0,24,35,7,12,1
72,3,85,0,1,4,13,0,4,0,99,18,77,16,2
62,9,75,11,0,0,7,4,4,0,82,83,29,6,1
57,7,50,1,10,1,2,5,5,1,23,12,28,34,2
44,6,15,15,11,4,1,5,2,2,42,51,68,9,2
4,6,31,13,10,0,9,3,2,2,62,74,2,15,1
60,7,50,9,9,1,15,5,2,0,34,13,58,42,2
23,6,98,5,5,6,2,0,4,2,89,39,69,11,1
71,1,43,7,10,7,12,5,3,2,8,72,30,2,0
1,3,32,8,1,1,7,2,2,0,6,69,7,31,2
70,9,45,7,0,2,3,5,1,1,81,57,69,41,0
12,8,7,6,16,4,7,3,3,2,56,90,52,0,0
32,1,2,4,13,5,4,6,3,1,40,72,27,38,1
19,2,76,1,1,2,14,1,4,1,36,90,96,2,1
7,3,100,1,9,1,3,4,1,2,41,45,56,22,2
41,6,82,16,7,3,3,5,3,2,73,72,43,3,2
67,7,20,6,0,3,2,5,0,1,90,93,7,37,2
14,1,55,11,4,3,6,6,4,0,100,22,30,37,2
59,6,49,16,8,3,11,4,4,1,11,61,51,41,2
20,5,27,1,12,0,12,0,0,0,45,96,3,10,1
37,8,51,1,8,2,9,2,3,1,35,63,76,2,0
6,6,46,16,10,6,8,0,3,1,42,37,22,28,2
44,1,37,6,2,2,7,2,5,1,82,67,91,16,0
53,3,73,14,15,3,14,0,5,1,75,70,12,12,2
14,2,70,8,11,6,3,5,3,2,10,51,52,32,2
12,6,44,13,11,5,11,1,2,2,1,26,42,36,0
9,7,30,13,7,5,4,5,5,0,70,21,83,12,2
50,3,50,4,9,5,8,1,1,0,24,35,28,33,0
63,1,14,8,16,6,3,6,1,0,28,38,67,10,0
42,8,30,9,16,0,15,2,1,1,3,58,7,26,0
73,3,15,4,8,0,5,2,0,1,71,18,44,16,2
13,1,94,14,16,3,3,4,5,2,94,83,86,24,2
47,0,100,12,14,3,3,2,5,2,90,49,34,3,1
24,0,58,12,0,3,14,3,4,2,44,41,68,1,1
12,1,24,13,16,0,7,4,3,2,14,99,17,26,1
24,1,100,11,14,7,12,6,2,0,61,47,67,13,2
31,6,74,6,5,0,2,1,2,0,46,19,47,12,1
20,7,8,5,5,7,9,3,0,1,74,47,33,25,2
65,4,48,4,4,7,14,3,4,2,87,49,62,32,2
65,7,28,14,7,4,5,6,3,1,51,61,36,22,1
23,3,1,0,10,2,10,1,5,2,85,2,30,23,2
40,0,8,4,3,1,10,0,0,2,55,24,66,20,2
14,5,39,14,16,3,6,5,5,1,90,42,79,9,1
27,4,42,11,11,2,7,2,3,0,75,4,20,8,0
49,0,50,10,14,1,12,4,2,2,0,25,68,2,2
63,4,96,1,5,2,11,5,5,0,53,31,2,26,2
68,5,100,10,2,2,7,1,1,2,62,29,51,24,0
23,6,86,9,6,4,1,5,3,1,73,86,50,5,2
26,2,29,1,4,6,5,3,1,1,65,28,25,33,2
61,8,25,16,4,4,9,2,1,1,77,92,21,2,0
44,4,69,6,8,3,13,5,1,0,75,66,9,9,0
11,0,26,15,7,2,4,5,5,1,52,43,64,42,2
48,0,40,8,5,7,7,2,0,2,54,18,40,28,0
17,8,11,3,3,4,0,0,0,1,4,47,65,29,2
57,3,19,9,2,7,14,2,0,2,32,37,11,12,1
8,5,78,4,10,6,3,0,0,1,30,3,50,13,2
57,2,17,13,7,1,9,6,3,0,29,47,51,0,0
6,1,2,12,0,6,12,1,1,0,16,23,1,6,2
59,6,88,14,0,6,15,5,2,0,82,63,9,8,2
14,5,30,6,11,5,5,2,1,2,26,58,10,4,0
62,0,87,11,6,3,10,4,5,2,63,38,18,2,0
29,8,64,2,8,2,12,4,4,1,55,13,0,31,0
25,9,14,2,3,7,12,1,5,2,99,78,21,2,1
30,4,28,0,15,2,12,2,2,1,73,65,98,29,0
57,8,38,7,6,1,1,2,2,0,33,46,97,3,0
1,3,94,0,11,4,7,1,1,2,47,0,97,42,2
8,6,25,1,16,4,3,2,5,0,71,75,24,40,0
54,9,16,3,7,0,10,1,1,1,71,38,6,36,1
6,1,68,10,16,3,10,1,1,2,8,11,67,26,2
37,9,47,14,3,2,9,5,1,2,64,49,46,40,2
0,7,83,3,0,3,12,4,5,2,90,33,64,3,2
43,6,4,7,4,6,8,4,5,1,33,71,88,5,0
65,1,38,2,2,1,10,3,0,2,85,92,1,40,1
34,1,42,6,5,6,13,6,2,0,8,39,91,7,2
61,0,68,12,14,0,2,2,0,0,63,64,67,11,0
50,8,9,11,1,5,0,5,4,0,18,6,10,33,2
29,0,9,8,4,3,5,0,1,1,43,1,40,22,2
70,5,7,9,12,6,11,4,1,2,10,0,70,37,2
17,1,41,4,0,5,14,1,2,2,89,21,22,1,0
68,7,18,12,1,6,9,1,5,2,35,77,10,36,0
46,7,20,13,6,1,13,4,1,1,39,20,66,28,1
56,7,0,2,6,2,0,5,1,2,61,45,61,7,1
38,6,70,13,1,1,10,2,1,1,92,85,2,31,1
12,0,78,3,3,4,12,4,1,0,32,78,72,16,1
25,4,5,7,15,1,12,3,3,0,29,89,99,32,0
13,9,33,4,10,0,14,2,3,1,14,9,55,35,0
40,7,18,16,6,2,12,0,5,1,65,58,68,23,0
45,2,5,3,4,4,10,4,3,0,64,88,13,6,1
19,9,71,3,6,5,9,1,5,2,78,60,7,21,2
73,6,72,1,9,2,9,0,2,2,20,10,32,19,1
64,7,78,12,3,4,7,0,5,1,41,83,41,35,1
70,4,75,12,6,7,13,6,4,1,13,33,55,20,2
23,7,43,12,2,7,9,0,1,0,80,19,88,1,1
32,5,76,0,9,5,2,0,4,2,55,87,16,17,1
70,1,75,12,8,7,10,0,4,2,16,67,17,14,0
65,9,93,2,4,6,13,3,5,2,94,94,49,21,2
48,1,24,2,0,1,1,3,4,1,65,7,14,5,1
11,6,29,16,0,5,8,6,5,0,47,10,74,12,0
68,8,29,10,13,2,0,6,0,1,32,76,14,34,1
50,9,83,15,7,4,13,6,5,0,13,51,3,35,0
14,0,66,15,1,0,0,1,3,0,15,38,24,1,2
14,3,83,4,14,3,13,2,2,2,6,95,54,14,0
17,3,51,11,7,3,9,3,5,0,91,32,87,29,1
33,8,9,10,15,6,8,5,2,1,63,88,68,0,2
29,3,27,12,1,4,3,3,4,1,41,37,59,17,0
62,1,28,4,12,2,1,1,4,0,86,21,37,35,1
52,5,74,6,16,3,5,4,1,2,13,65,44,35,1
30,8,60,16,13,2,13,5,0,2,57,54,8,23,2
61,2,32,1,0,1,3,1,5,1,76,81,90,26,1
21,0,52,2,9,7,13,0,1,2,42,90,53,36,2
13,4,25,8,12,0,7,1,0,2,78,3,47,12,2
44,4,33,15,14,5,0,5,0,0,86,77,30,2,2
54,5,47,12,10,5,6,0,3,1,69,54,35,38,0
73,5,18,15,4,4,2,4,1,1,83,24,85,19,0
15,0,58,2,10,0,7,2,2,2,40,12,97,32,0
40,0,75,3,1,2,9,4,4,0,17,40,73,6,2
15,6,97,5,4,0,12,5,3,0,24,27,25,15,0
61,5,72,11,16,7,15,0,0,2,40,31,50,33,0
42,6,100,2,8,2,14,2,3,0,64,65,58,1,1
28,8,99,14,5,6,14,6,0,1,59,93,37,20,1
63,9,37,7,10,6,1,6,5,0,36,95,98,3,2
72,8,80,13,12,1,14,4,3,1,5,17,4,23,2
45,3,64,7,8,7,0,3,2,0,6,39,84,2,1
59,4,69,5,3,7,13,4,1,2,7,100,50,2,0
40,7,89,3,15,2,6,3,0,0,51,24,44,30,2
23,5,99,16,5,0,0,2,1,0,53,84,49,25,2
39,4,37,2,14,4,5,5,4,0,47,42,14,9,1
46,7,82,8,16,2,4,2,5,2,67,45,41,0,1
55,9,19,13,1,3,8,4,0,2,44,30,36,40,2
53,5,67,0,16,3,9,5,1,1,9,95,21,32,0
41,9,22,4,10,5,1,4,1,0,54,52,1,38,0
65,9,23,5,7,1,4,4,2,1,50,36,97,2,1
70,4,96,5,15,5,7,2,2,1,9,15,42,14,1
49,5,23,1,10,1,1,3,5,0,76,24,0,3,2
35,0,3,16,0,0,0,1,1,1,72,54,88,2,1
72,9,66,15,15,3,10,6,1,0,48,64,63,11,0
59,3,11,2,14,4,1,3,5,2,19,98,65,7,1
8,6,99,16,9,7,6,3,1,2,82,32,17,32,2
2,5,72,7,7,4,12,4,5,0,98,88,50,9,0
60,3,11,7,7,2,8,0,0,2,21,61,10,3,2
73,2,92,15,3,2,9,0,1,1,72,26,80,17,0
20,4,42,12,6,6,11,5,0,0,19,14,76,13,0
16,1,51,11,14,2,10,1,0,0,71,6,8,20,0
17,5,63,2,4,3,11,1,2,2,70,16,58,8,0
27,5,46,4,3,7,4,3,4,1,3,75,94,2,2
7,9,98,13,16,0,13,3,3,0,48,72,85,10,1
65,1,27,12,4,5,5,3,0,2,10,71,94,3,0
36,5,82,8,8,2,11,5,1,2,82,98,85,12,1
46,0,80,11,5,1,11,6,3,1,84,3,73,1,1
2,5,13,4,5,4,1,1,0,2,80,16,98,40,0
67,5,8,8,16,4,12,1,3,2,76,24,18,12,0
44,3,26,2,8,0,12,5,4,2,60,69,28,30,2
23,2,55,16,14,7,3,6,5,1,29,17,13,9,1
34,9,50,2,7,6,10,3,4,2,97,87,25,7,1
44,0,42,9,15,4,8,3,4,2,60,98,18,5,1
13,0,41,3,2,3,6,5,3,2,11,79,7,17,2
57,0,18,8,8,0,8,2,2,2,47,46,97,35,2
58,4,14,3,16,1,0,6,1,1,58,79,43,24,1
31,4,100,1,5,2,0,2,3,1,96,85,43,36,2
19,2,61,15,12,4,8,1,0,2,92,25,24,11,2
43,0,57,14,16,2,15,5,0,2,84,43,89,42,2
38,7,11,9,14,4,12,6,5,0,53,37,95,39,1
59,5,48,2,15,7,13,6,1,0,29,11,53,14,0
56,2,19,4,1,2,13,6,1,2,46,15,92,28,1
5,6,45,1,9,2,8,5,0,0,45,58,79,0,1
51,0,0,11,13,2,8,2,5,1,14,31,48,21,2
18,4,70,9,13,1,14,6,4,1,69,20,75,15,1
19,0,71,5,16,3,3,5,3,2,92,45,33,10,1
55,7,77,12,0,7,6,3,0,2,22,42,93,8,0
67,2,96,8,2,1,0,5,5,2,97,63,9,35,1
67,2,93,7,12,5,14,4,1,2,97,65,76,4,0
20,8,18,16,4,3,8,0,2,1,51,35,41,21,1
68,2,40,10,12,6,3,0,5,2,90,75,27,40,1
28,6,17,8,2,4,7,5,5,2,5,98,59,15,0
44,0,42,4,4,7,10,1,1,2,17,70,38,36,0
31,6,39,3,14,3,1,6,2,1,31,70,29,32,1
59,5,2,10,0,5,15,6,5,0,8,7,77,31,2
42,4,7,3,4,2,13,0,1,2,39,99,76,18,0
40,4,86,5,8,4,7,5,4,2,35,32,72,19,0
48,2,17,9,1,1,12,0,2,1,78,21,54,36,1
46,8,28,6,8,7,6,6,3,0,85,57,40,9,1
51,8,26,9,2,7,7,6,5,1,46,8,95,37,2
44,8,93,10,2,0,3,2,5,1,43,42,92,7,2
31,3,54,13,0,2,14,3,0,2,75,65,48,36,1
40,8,68,1,7,2,3,4,3,0,22,65,55,15,0
50,3,53,13,6,0,9,6,0,2,60,22,9,35,0
54,4,15,15,6,7,13,4,1,1,65,12,4,25,2
24,2,11,5,1,3,13,6,5,0,17,42,95,18,1
0,9,80,10,8,1,12,4,3,1,19,81,9,24,0
10,8,59,5,4,4,10,3,5,2,4,95,93,33,0
60,1,94,4,8,0,15,4,1,2,96,32,36,34,0
14,6,45,13,15,5,3,6,1,0,77,86,96,35,1
73,7,22,5,0,3,13,0,4,0,63,82,25,5,0
30,1,31,8,15,1,7,5,4,0,19,8,65,21,1
57,8,5,10,6,0,5,1,5,1,52,41,59,5,2
73,8,79,8,7,1,2,5,0,2,13,11,37,21,2
71,8,57,2,12,4,7,0,3,0,52,92,66,34,0
49,3,82,2,0,3,11,3,4,0,31,100,3,4,0
63,1,11,1,9,4,3,1,1,1,35,76,25,1,2
18,6,72,5,11,0,15,1,5,1,1,62,65,16,0
39,2,50,14,8,0,12,6,3,0,99,6,41,9,1
8,4,81,3,12,3,3,1,2,2,94,100,23,34,0
48,4,18,2,6,1,3,5,0,2,87,26,49,17,1
74,7,62,1,5,2,5,3,5,0,14,2,48,9,2
36,5,14,10,0,1,11,2,2,0,28,23,48,6,1
54,6,48,15,5,1,8,6,2,0,15,88,25,13,2
16,4,28,13,15,7,8,0,3,2,69,52,22,1,0
55,2,37,10,16,4,14,4,5,1,51,24,54,1,2
60,0,23,11,2,1,8,0,2,0,7,17,16,0,2
33,8,99,2,11,4,5,1,3,0,66,16,91,28,2
70,8,11,2,4,4,3,6,3,2,94,46,27,23,0
31,0,3,15,1,7,13,6,2,0,72,75,62,19,0
6,2,98,4,14,1,7,0,1,1,70,35,3,2,0
72,8,76,11,12,5,5,5,2,1,27,78,66,28,1
70,0,73,4,13,7,3,3,0,2,87,32,91,11,2
1,0,32,7,14,6,14,2,3,1,81,90,46,14,0
52,1,87,5,16,7,15,6,3,2,92,7,37,20,1
74,4,74,16,16,1,0,0,5,1,59,72,75,41,0
52,4,81,10,14,5,3,3,3,0,66,44,61,30,0
59,5,18,12,4,7,6,1,3,1,70,66,59,22,2
49,4,88,7,16,4,6,1,1,2,51,7,75,21,1
12,0,33,10,3,7,1,5,4,2,93,68,6,2,2
16,6,50,7,5,4,6,1,3,2,18,93,15,10,1
18,1,38,13,14,0,10,0,0,1,40,34,51,22,0
69,5,37,16,3,2,13,0,3,1,79,49,31,7,1
8,1,87,2,0,6,11,0,3,0,12,19,50,4,0
48,8,9,7,2,6,10,6,0,0,16,65,90,12,2
12,2,27,15,12,2,13,4,0,2,25,92,9,0,1
24,7,95,14,11,0,5,0,0,2,55,82,35,4,0
55,3,91,2,6,3,7,1,0,1,9,100,63,3,1
15,6,13,13,7,1,11,6,4,2,65,53,83,1,0
22,7,1,5,16,6,8,5,3,1,55,94,67,4,1
6,7,86,12,11,3,0,4,5,1,46,12,17,26,1
9,8,38,1,6,3,9,1,2,2,0,59,37,25,2
40,2,66,10,9,7,15,5,1,1,100,9,91,11,0
16,9,82,9,3,6,0,4,3,0,71,54,93,32,2
60,5,96,8,11,7,5,3,2,1,84,32,37,34,0
28,4,4,8,8,0,2,0,4,0,69,48,88,27,0
70,4,35,15,16,1,1,1,0,2,27,80,50,16,2
71,2,31,1,2,6,12,4,0,0,32,22,17,22,1
10,8,100,10,7,3,1,3,4,2,61,12,88,14,2
24,6,49,9,1,7,1,4,1,1,34,74,56,6,1
14,6,18,10,13,6,4,4,2,1,75,88,53,24,1
11,3,11,5,1,2,4,2,1,1,28,85,91,40,1
73,9,53,9,12,4,1,2,3,2,89,43,10,17,2
14,3,43,4,4,0,1,6,1,1,43,65,20,28,1
38,2,36,7,6,7,11,5,5,0,45,97,12,18,0
33,9,54,15,3,4,7,5,1,1,59,95,23,2,2
69,8,69,9,14,1,4,3,3,1,57,58,50,14,1
67,1,9,6,10,5,2,5,3,1,36,5,34,14,1
73,5,68,16,13,1,0,2,5,0,51,92,6,39,2
53,1,75,6,4,0,12,2,5,1,94,47,78,21,2
56,0,37,13,6,5,9,5,2,2,66,39,12,23,2
0,5,39,0,6,4,0,5,2,2,88,28,93,29,0
60,9,6,1,1,2,0,1,3,2,59,37,98,24,0
26,2,4,7,7,4,0,4,5,1,11,64,36,22,1
44,0,28,1,13,4,0,4,2,1,54,60,93,4,0
72,1,29,2,15,6,12,0,0,2,84,60,53,22,0
42,3,66,16,16,7,7,4,1,0,72,54,82,26,1
